id,name
a031572a-00f9-4a91-b025-ff6498091ac8,Oceanography
158a7a30-8720-40eb-91b6-127ff0a4382a,Oncology
f9cf4ba5-c980-4707-8af0-635a84b48635,Oncology (nursing)
9181a701-1e1a-4ba6-bfe3-47c12bda887b,Ophthalmology
24dd2b6f-4b5b-4f66-99c5-5180449496e7,Organizational Behavior and Human Resource Management
3f3eebdc-1efd-459c-8beb-10ceb55d4131,Orthopedics and Sports Medicine
28a9e873-9b13-401f-b97a-814aa1a1fb12,Parasitology
111e9f39-b527-4120-9fe0-22ba311e5f32,Pathology and Forensic Medicine
51ce0d89-159c-4d48-af6d-97fbd4b12fde,"Pediatrics, Perinatology and Child Health"
a38ce772-355e-4507-93fe-2e16c617da16,Pharmaceutical Science
182a9677-2675-45eb-a603-2a2f1b0b6231,Pharmacology
6c1cee6e-acaa-4b1b-87c2-1e916794bfcc,Pharmacology (medical)
c29f0354-8897-442b-bd7a-814de40bd3bc,Philosophy
ba1793f9-eb23-4f02-9b55-575cb3dfdd11,"Physical Therapy, Sports Therapy and Rehabilitation"
02737d8c-0e23-41a2-8820-3da84cacc71d,Physical and Theoretical Chemistry
a2f1c12f-6467-4352-833e-0653fb34efb7,Physics and Astronomy (miscellaneous)
7dd2a499-6908-4e79-8e6e-5843e39a4161,Physiology
3f3cef1e-40bc-49e0-bafd-d0669c36911c,Political Science and International Relations
129097e2-dcc2-44c1-9d01-2e8f850e3f62,Polymers and Plastics
4505dccb-2084-4931-bc56-510266ad8dc8,Psychiatry and Mental Health
4f050b48-6187-4b10-b64b-5c2bd18ecd67,"Public Health, Environmental and Occupational Health"
4fedde53-0457-4a2c-88e7-cae086b5d402,Pulmonary and Respiratory Medicine
3444b5ee-6180-438e-905e-b9ca4107a9c5,"Renewable Energy, Sustainability and the Environment"
86d2360e-6597-4698-ac2c-6e59360e51b4,Reproductive Medicine
1cb2b27a-3339-402b-8ae4-41264dc387e5,Rheumatology
3d899d43-e5cf-4bb5-8bb2-36ec0f507f6e,"Safety, Risk, Reliability and Quality"
28a0d817-54ba-476d-a7bf-70113b52d073,Sensory Systems
982fdaab-8bca-4a62-beb5-1c6737ff432a,Signal Processing
7e1b47f0-7e29-47d1-b63c-e09743f74426,Sociology and Political Science
584833d1-3592-405a-8f52-631706bfb953,Software
64992552-6641-4bff-a907-d184f0229c6e,Space and Planetary Science
a5c2611c-9512-4175-bc84-14628cd035c6,Sports Science
924626d7-8dc7-4363-bcae-f7090f6f7a51,Statistical and Nonlinear Physics
9c15c592-7938-4fcf-a422-bf92f253347d,Statistics and Probability
d1010873-d72a-4f2a-ac45-4a8deff446d9,"Statistics, Probability and Uncertainty"
17d4686e-7b15-46aa-a1fc-9ab724f7e7cf,Strategy and Management
1157f092-0103-466f-a898-4751865b0e8f,Surfaces and Interfaces
88c0bb6b-7e0f-466e-ac17-2363764812b8,"Surfaces, Coatings and Films"
a7a60b97-b9f7-4821-bb25-521fc9004a3b,Surgery
af2d289b-cdaf-419b-a9be-05314ae4d505,Theoretical Computer Science
3e7ae122-5011-469b-80b4-4d3e80e9931d,Urban Studies
8ac41c36-1a15-4aee-a423-1c932f57fa78,Virology
58f4f76f-03b5-420f-912c-27c1d3b7e303,Waste Management and Disposal
752b3ab9-9f42-42f4-a3fb-b15d5724f9d5,Water Science and Technology
